,Sr No,Date,Startup Name,Industry Vertical,SubVertical,City,Investors,Investment Type,Amount in USD,Funding_Category,Amount in Rs(Cr),Funding_Round,Investor_Rank_x,Power_Score_x,Investor_Rank_y,Power_Score_y,Influence_Index,Final_Rank
0,1,09-01-2020,BYJU’S,E-Tech,E-learning,Bengaluru,"""tiger global management""",private equity round,200000000,Very Large,1819.4,Private Equity,19,0.994132439,19,0.994132439,0.143208742,23
1,2,13-01-2020,Shuttl,Transportation,App based shuttle service,Gurgaon,"""susquehanna growth equity""",series c,8048394,Very Large,73.21624022,Series C,343,0.778709137,343,0.778709137,0.00586154,581
2,3,09-01-2020,Mamaearth,E-commerce,Retailer of baby and toddler products,Bengaluru,"""sequoia capital india""",series b,18358860,Very Large,167.0105494,Series B,71,0.972338642,71,0.972338642,0.053378357,76
3,4,02-01-2020,https://www.wealthbucket.in/,FinTech,Online Investment,New Delhi,"""vinod khatumal""",pre-series a,3000000,Large,27.291,Series A,444,0.645850796,444,0.645850796,0.004508027,629
4,5,02-01-2020,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,"""sprout venture partners""",seed round,1800000,Large,16.3746,Seed,492,0.569572506,492,0.569572506,0.004186297,646
5,6,13-01-2020,Pando,Logistics,"Open-market, freight management platform",Chennai,"""chiratae ventures""",series a,9000000,Very Large,81.873,Series A,332,0.782760548,332,0.782760548,0.006116672,575
6,7,10-01-2020,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,"""ant financial""",private equity round,150000000,Very Large,1364.55,Private Equity,69,0.974573903,69,0.974573903,0.04391985,97
7,8,12-12-2019,Ecozen,Technology,Agritech,Pune,"""sathguru catalyzer advisors""",series a,6000000,Very Large,54.582,Series A,377,0.751606594,377,0.751606594,0.00531235,598
8,9,06-12-2019,CarDekho,E-Commerce,Automobile,Gurgaon,"""ping an global voyager fund""",series d,70000000,Very Large,636.79,Other,118,0.948588991,118,0.948588991,0.022471239,210
9,10,03-12-2019,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,"""mumbai angels""",seed,50000000,Very Large,454.85,Seed,123,0.946633138,123,0.946633138,0.045946424,91
10,10,03-12-2019,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,"""  ravikanth reddy""",seed,50000000,Very Large,454.85,Seed,147,0.93210394,147,0.93210394,0.017109086,262
11,11,13-12-2019,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,"""saif partners""",series f,20000000,Very Large,181.94,Other,76,0.970382788,76,0.970382788,0.117198843,33
12,11,13-12-2019,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,"""  spring canter investment ltd.""",series f,20000000,Very Large,181.94,Other,231,0.867421067,231,0.867421067,0.009065857,447
13,12,17-12-2019,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,"""paytm""",series c,12000000,Very Large,109.164,Series C,101,0.957250629,101,0.957250629,0.042859931,101
14,12,17-12-2019,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,"""  nptk""",series c,12000000,Very Large,109.164,Series C,303,0.816010059,303,0.816010059,0.006920995,565
15,12,17-12-2019,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,"""  sabre partners and neoplux""",series c,12000000,Very Large,109.164,Series C,303,0.816010059,303,0.816010059,0.006920995,565
16,13,16-12-2019,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,"""vertex growth fund""",series e,30000000,Very Large,272.91,Other,193,0.903045543,193,0.903045543,0.011746933,380
17,14,16-12-2019,InCred,Finance,Non-Banking Financial Company,Mumbai,nan,debt funding,5900000,Very Large,53.6723,Debt,18,0.994411847,18,0.994411847,0.171691808,16
18,15,14-12-2019,Trell,Video,Experience Discovery Platform,Bengaluru,"""ruizheng investment""",seed round,2000000,Large,18.194,Seed,482,0.586197262,482,0.586197262,0.004239919,643
19,16,11-12-2019,Rein Games,Gaming,Real money based gaming startup,Noida,"""manipal education and medical group (memg)""",seed round,50000000,Very Large,454.85,Seed,141,0.937412685,141,0.937412685,0.018126417,252
20,17,20-12-2019,Lenskart.com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,"""softbank vision fund""",series g,231000000,Very Large,2101.407,Other,10,0.996926516,10,0.996926516,0.151795848,17
21,18,13-11-2019,Freshworks,Software,Business and customer engagement tools,San Francisco,"""sequoia""",series h,150000000,Very Large,1364.55,Other,69,0.974573903,69,0.974573903,0.04391985,97
22,18,13-11-2019,Freshworks,Software,Business and customer engagement tools,San Francisco,"""  capitalg""",series h,150000000,Very Large,1364.55,Other,69,0.974573903,69,0.974573903,0.04391985,97
23,18,13-11-2019,Freshworks,Software,Business and customer engagement tools,San Francisco,"""  accel""",series h,150000000,Very Large,1364.55,Other,61,0.979044426,61,0.979044426,0.041709021,107
24,19,14-11-2019,Misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,"""sauce.vc""",series b,486000,Medium,4.421142,Series B,557,0.156607991,557,0.156607991,0.003834004,701
25,19,14-11-2019,Misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,"""  rainforest ventures""",series b,486000,Medium,4.421142,Series B,557,0.156607991,557,0.156607991,0.003834004,701
26,20,13-11-2019,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,"""prime venture partners""",seed,1500000,Large,13.6455,Seed,312,0.808605756,312,0.808605756,0.023891695,200
27,20,13-11-2019,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,"""  letsventure""",seed,1500000,Large,13.6455,Seed,243,0.860296172,243,0.860296172,0.050661767,81
28,20,13-11-2019,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,"""  ps1 venture and globallogic co-founder rajul garg""",seed,1500000,Large,13.6455,Seed,500,0.285834032,500,0.285834032,0.004105865,653
29,21,17-11-2019,Burger Singh,Food and Beverage,Indian Burger Brand,Gurgaon,"""rb investments""",venture,1750000,Large,15.91975,Other,194,0.900111763,194,0.900111763,0.033887082,141
30,22,18-11-2019,Healthians,Health and Wellness,Healthcare services,Gurgaon,"""dg daiwa ventures""",series b,12000000,Very Large,109.164,Series B,303,0.816010059,303,0.816010059,0.006920995,565
31,22,18-11-2019,Healthians,Health and Wellness,Healthcare services,Gurgaon,"""  dg incubation""",series b,12000000,Very Large,109.164,Series B,303,0.816010059,303,0.816010059,0.006920995,565
32,23,15-11-2019,Ninjacart,B2B Marketing,Agritech,Bengaluru,"""trifecta capital advisors""",debt funding,26000000,Very Large,236.522,Debt,204,0.893685387,204,0.893685387,0.010674502,426
33,24,20-11-2019,Aye Finance,FinTech,Financial Services To MSMEs,Gurgaon,"""fintech""",debt funding,17411265,Very Large,158.3902777,Debt,251,0.856384465,251,0.856384465,0.008371797,466
34,25,12-11-2019,SuperGaming,Video Games,Social gaming platform,Pune,"""dream incubator""",seed funding,1300000,Large,11.8261,Seed,443,0.653813915,443,0.653813915,0.008007279,488
35,26,20-11-2019,Clumio,SaaS,Recovery software,"San Jose,","""altimeter capital""",series c,135000000,Very Large,1228.095,Series C,14,0.995808885,14,0.995808885,0.14901634,19
36,26,20-11-2019,Clumio,SaaS,Recovery software,"San Jose,","""  sutter hill ventures""",series c,135000000,Very Large,1228.095,Series C,74,0.970941604,74,0.970941604,0.039898236,113
37,27,11-11-2019,eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,"""startup buddy""",seed,300000,Medium,2.7291,Seed,466,0.613020397,466,0.613020397,0.011508711,399
38,28,19-11-2019,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,Delhi,"""amour infrastructure""",seed funding,220000000,Very Large,2001.34,Seed,56,0.981838502,56,0.981838502,0.062687385,63
39,29,18-11-2019,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"""ackermans & van haaren""",series b,15800000,Very Large,143.7326,Series B,272,0.844928751,272,0.844928751,0.007939804,494
40,29,18-11-2019,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"""  healthquad""",series b,15800000,Very Large,143.7326,Series B,272,0.844928751,272,0.844928751,0.007939804,494
41,29,18-11-2019,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"""  rebright partners""",series b,15800000,Very Large,143.7326,Series B,232,0.865046102,232,0.865046102,0.011331155,409
42,29,18-11-2019,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"""  toppan printing""",series b,15800000,Very Large,143.7326,Series B,272,0.844928751,272,0.844928751,0.007939804,494
43,30,15-11-2019,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,"""matrix partners""",series b,283000000,Very Large,2574.451,Series B,41,0.987426655,41,0.987426655,0.093792908,42
44,30,15-11-2019,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,"""  stellaris venture partners""",series b,283000000,Very Large,2574.451,Series B,48,0.985470802,48,0.985470802,0.060638237,68
